CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41084833,LEDERHOSEN RESTAURANT,MANHATTAN,39,GROVE STREET,10014,2122067691,German,05/14/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,78,,,08/28/2017,Trans Fat / Initial Inspection
50033065,CESTRAS PIZZA III,BRONX,44,WESTCHESTER SQ,10462,3476913492,Pizza/Italian,03/18/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,7,A,03/18/2015,08/28/2017,Pre-permit (Operational) / Initial Inspection
41263773,VILLAGE DINER,QUEENS,21812,JAMAICA AVENUE,11428,7182174091,American,01/26/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10,A,01/26/2015,08/28/2017,Cycle Inspection / Initial Inspection
40574150,WHITESTONE BAGEL FACTORY,QUEENS,2417,149 STREET,11357,7187627700,Delicatessen,10-11-16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,,,08/28/2017,Cycle Inspection / Initial Inspection
41288500,IL MELOGRANO,MANHATTAN,501,WEST 51 STREET,10019,2127579290,Italian,04/25/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,22,,,08/28/2017,Cycle Inspection / Initial Inspection
50037200,THE JUICE SHOP,MANHATTAN,688,6TH AVE,10010,6469186081,"Juice, Smoothies, Fruit Salads",06-11-15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
41155027,"HAMPTON CHUTNEY, CO.",MANHATTAN,464,AMSTERDAM AVENUE,10024,2123625050,Indian,11-04-15,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,31,,,08/28/2017,Cycle Inspection / Initial Inspection
41616416,ISLAND CHOIZ RESTAURANT,BROOKLYN,1792,UTICA AVENUE,11234,7189424309,Caribbean,08-08-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,08-08-16,08/28/2017,Cycle Inspection / Initial Inspection
41182162,ZOMBIE HUT,BROOKLYN,273,SMITH STREET,11231,7188753433,American,10/26/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,10/26/2016,08/28/2017,Cycle Inspection / Initial Inspection
50018155,NO. 1 KITCHEN,BRONX,839,PROSPECT AVE,10459,7188610291,Chinese,08/26/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,08/26/2016,08/28/2017,Cycle Inspection / Re-inspection
40816235,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,14617,JAMAICA AVENUE,11435,7182620299,American,01-08-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,01-08-16,08/28/2017,Cycle Inspection / Initial Inspection
41111464,100 FUN,BROOKLYN,932934,60 STREET,11219,7184368883,Asian,06/17/2014,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,26,,,08/28/2017,Cycle Inspection / Initial Inspection
40592811,SALTY DOG RESTAURANT,BROOKLYN,7509,3 AVENUE,11209,7182380030,American,08/24/2016,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,98,,,08/28/2017,Administrative Miscellaneous / Initial Inspection
50014741,Q & Q BAKERY,MANHATTAN,50,E BROADWAY,10002,2122262282,Bakery,09-10-14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
41693250,YEAH SHANGHAI DELUXE,MANHATTAN,50,MOTT STREET,10013,2125664884,Chinese,06/18/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,B,06/18/2014,08/28/2017,Cycle Inspection / Re-inspection
40989787,NOLBU RESTAURANT,QUEENS,16425,NORTHERN BOULEVARD,11358,7183211151,Korean,09/23/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,,,08/28/2017,Cycle Inspection / Initial Inspection
40654318,BATEAUX NEW YORK,MANHATTAN,62,WEST 23 STREET - CHELSEA PIER,10011,2127277735,American,08-03-16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,32,,,08/28/2017,Cycle Inspection / Initial Inspection
40941945,EUROPAN CAFE,MANHATTAN,135,COLUMBUS AVENUE,10023,2127994100,Sandwiches/Salads/Mixed Buffet,01/27/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,11,A,01/27/2016,08/28/2017,Cycle Inspection / Re-inspection
41609204,LA GAMELLE,MANHATTAN,241,BOWERY,10002,2123880052,American,03/21/2017,No violations were recorded at the time of this inspection.,,,Not Applicable,65,,,08/28/2017,Administrative Miscellaneous / Initial Inspection
50000529,TU AREPA PIZZA CAFE,QUEENS,10022,67TH AVE,11374,7187668900,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",08/27/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,8,A,08/27/2015,08/28/2017,Cycle Inspection / Re-inspection
50044691,JOY KITCHEN,BROOKLYN,497,7TH AVE,11215,7189652874,Chinese,03-09-16,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,34,,,08/28/2017,Pre-permit (Operational) / Compliance Inspection
40672460,HANA SUSHI,MANHATTAN,211,7 AVENUE,10011,2126209950,Japanese,11/16/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,11/16/2015,08/28/2017,Cycle Inspection / Initial Inspection
41647241,JACK'S SLIDERS AND SUSHI,MANHATTAN,171,3 AVENUE,10003,2124662828,Asian,08/22/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18,,,08/28/2017,Cycle Inspection / Initial Inspection
50053436,PANDA EXPRESS #2679,BROOKLYN,2166,NOSTRAND AVE,11210,7188590368,Chinese,05/16/2017,Violations were cited in the following area(s).,20D,"Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",Not Critical,62,,,08/28/2017,Administrative Miscellaneous / Initial Inspection
40364863,SERENDIPITY 3,MANHATTAN,225,EAST   60 STREET,10022,2128383531,American,08/31/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,08/31/2016,08/28/2017,Cycle Inspection / Re-inspection
41706542,INASE SUSHI RESTAURANT,MANHATTAN,1586,1 AVENUE,10028,2126281238,Japanese,01/15/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,6,A,01/15/2016,08/28/2017,Cycle Inspection / Initial Inspection
40395298,T-BONE DINER,QUEENS,10748,QUEENS BOULEVARD,11375,7182617744,American,06-06-16,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,37,,,08/28/2017,Cycle Inspection / Initial Inspection
50000728,RIKY & SEPI SPORT CAFE,BRONX,2278,ARTHUR AVENUE,10457,6465237886,Mexican,11/17/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,31,,,08/28/2017,Smoke-Free Air Act / Re-inspection
40881793,SUBWAY,QUEENS,14604,JAMAICA AVENUE,11435,7182975060,Sandwiches,10-05-15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,,,08/28/2017,Cycle Inspection / Initial Inspection
41138581,COLUMBUS AVE DELI & CAFE,MANHATTAN,556,COLUMBUS AVENUE,10024,2127219040,Delicatessen,06-12-15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,,,08/28/2017,Cycle Inspection / Initial Inspection
50000207,QUALITY ITALIAN STEAKHOUSE,MANHATTAN,57,WEST 57 STREET,10019,2123901111,Italian,06-07-14,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,37,,,08/28/2017,Cycle Inspection / Initial Inspection
41697130,LAO DONG BEI RESTAURANT,QUEENS,4409,KISSENA BOULEVARD,11355,7185394100,Chinese,01/21/2016,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,40,,,08/28/2017,Cycle Inspection / Initial Inspection
41510846,218 RESTAURANT,MANHATTAN,218220,GRAND STREET,10013,2122268039,Chinese,09/17/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,45,,,08/28/2017,Cycle Inspection / Initial Inspection
40383737,CANLON'S RESTAURANT,STATEN ISLAND,1825,NORTH RAILROAD AVENUE,10306,7186673013,Italian,06/20/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,34,,,08/28/2017,Cycle Inspection / Initial Inspection
41371241,DEAN & DELUCA,MANHATTAN,620,8 AVENUE,10018,2122210308,American,07-07-17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,20,,,08/28/2017,Cycle Inspection / Initial Inspection
50019055,C & B,MANHATTAN,178,E 7TH ST,10009,2126742985,CafÃ©/Coffee/Tea,05-02-16,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,05-02-16,08/28/2017,Cycle Inspection / Initial Inspection
50001637,YOLANDA RESTAURANT,BROOKLYN,188,JAMAICA AVE,11207,7182771737,Spanish,08-11-15,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,66,,,08/28/2017,Cycle Inspection / Compliance Inspection
50065810,THE MANSFIELD HOTEL,MANHATTAN,12,W 44TH ST,10036,2122778700,American,08-08-17,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,60,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection
50068014,CAMILLO,BROOKLYN,1146,NOSTRAND AVE,11225,3478342400,Other,01-01-00,,,,Not Applicable,30,,,08/28/2017,
41387635,ANGELOS DELI RESTAURANT,QUEENS,5000,GRAND AVENUE,11378,7183864423,Mexican,02/18/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,,,08/28/2017,Cycle Inspection / Initial Inspection
41136253,VICTOR'S COFFEE SHOP,QUEENS,21261,JAMAICA AVENUE,11428,7182174520,Spanish,05-09-15,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,39,C,05-09-15,08/28/2017,Cycle Inspection / Re-inspection
40827050,SUBWAY,MANHATTAN,106,GREENWICH STREET,10006,2016545901,Sandwiches,09/26/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,09/26/2016,08/28/2017,Cycle Inspection / Initial Inspection
50004278,NEW KAM LAI,MANHATTAN,708,AMSTERDAM AVE,10025,2127498990,Chinese,01/29/2014,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,2,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
50053187,MARTHA'S COCINA,STATEN ISLAND,704,BAY ST,10304,3478823867,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",02/14/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,02/14/2017,08/28/2017,Cycle Inspection / Re-inspection
41289305,BAGELS 'N MORE,BROOKLYN,4305,14 AVENUE,11219,7188534450,Bagels/Pretzels,12/26/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,12/26/2013,08/28/2017,Cycle Inspection / Initial Inspection
40825868,KOSHER DELUXE,MANHATTAN,10,WEST   46 STREET,10036,2128696699,Jewish/Kosher,04-05-16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,31,,,08/28/2017,Cycle Inspection / Initial Inspection
41548686,ABA TURKISH RESTAURANT,MANHATTAN,325,WEST   57 STREET,10019,2129691782,Turkish,06/22/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,,,08/28/2017,Cycle Inspection / Initial Inspection
40847025,EL PULGARCITO DE AMERICA,BROOKLYN,3133,FULTON STREET,11208,7186477762,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04-07-15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,15,,,08/28/2017,Cycle Inspection / Initial Inspection
50000549,ANASSA TAVERNA,MANHATTAN,200,E 60TH STREET,10022,2123715200,American,05-04-17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,05-04-17,08/28/2017,Cycle Inspection / Re-inspection
50005690,M & U Pizzeria,BROOKLYN,7502,18TH AVE,11214,7182365661,Pizza,08/18/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,22,,,08/28/2017,Cycle Inspection / Initial Inspection
41189176,PARK CAFE,MANHATTAN,861,7 AVENUE,10019,2123154567,American,11-07-16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,11-07-16,08/28/2017,Cycle Inspection / Re-inspection
40993786,DUNKIN' DONUTS,STATEN ISLAND,150,GREAVES LANE,10308,7189667111,Donuts,11/19/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,,,08/28/2017,Cycle Inspection / Initial Inspection
41668452,SBARRO,MANHATTAN,159,WEST   33 STREET,10001,2125641909,Pizza/Italian,08-06-14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,,,08/28/2017,Cycle Inspection / Initial Inspection
50044289,BAYARD BO KY RESTAURANT,MANHATTAN,78-80,BAYARD ST,10013,2124062292,Chinese,04/15/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,04/15/2016,08/28/2017,Pre-permit (Operational) / Re-inspection
50044856,HOT BAGELS,BROOKLYN,4706,AVENUE N,11234,7182529440,American,07-11-17,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,23,,,08/28/2017,Cycle Inspection / Initial Inspection
50067504,FAIRFAX,MANHATTAN,234,W 4TH ST,10014,9176567143,Other,01-01-00,,,,Not Applicable,6,,,08/28/2017,
50014059,RED LOBSTER,QUEENS,8801,QUEENS BLVD,11373,7187603050,Seafood,09-06-16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,1,B,09-06-16,08/28/2017,Cycle Inspection / Re-inspection
50010952,BILLY'S PIZZA PASTA,BROOKLYN,1626,BEDFORD AVE,11225,7187597587,Pizza,08-12-15,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,,,08/28/2017,Cycle Inspection / Initial Inspection
41507777,SUSHI YASUDA,MANHATTAN,204,EAST   43 STREET,10017,2129721001,Japanese,02/13/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,22,,,08/28/2017,Cycle Inspection / Initial Inspection
41028460,SUBWAY,STATEN ISLAND,1750,HYLAN BOULEVARD,10305,7183515690,Sandwiches,11-12-14,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,29,,,08/28/2017,Cycle Inspection / Initial Inspection
50006741,GRACE CAFE,MANHATTAN,572,8TH AVE,10018,2129218141,American,09/29/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,24,,,08/28/2017,Cycle Inspection / Initial Inspection
40790556,BOSTON JERK-CITY RESTAURANT,BROOKLYN,1344,UTICA AVENUE,11203,7186293002,Caribbean,08-08-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,37,C,08-08-16,08/28/2017,Cycle Inspection / Re-inspection
41711778,CHICKEN FESTIVAL,QUEENS,196-17,NORTHERN BLVD,11358,7182240712,Chicken,10-03-15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25,,,08/28/2017,Cycle Inspection / Initial Inspection
41611708,SILKS,QUEENS,11000,ROCKAWAY BOULEVARD,11420,7182153540,"Bottled beverages, including water, sodas, juices, etc.",04-07-16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,04-07-16,08/28/2017,Cycle Inspection / Re-inspection
40984264,DUNKIN' DONUTS,STATEN ISLAND,1854,HYLAN BOULEVARD,10305,7189801257,CafÃ©/Coffee/Tea,12/29/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,12/29/2014,08/28/2017,Cycle Inspection / Re-inspection
41127083,MARKET CAFE,MANHATTAN,425,LEXINGTON AVENUE,10017,2126816300,American,06/17/2014,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,11,A,06/17/2014,08/28/2017,Cycle Inspection / Initial Inspection
41464606,LINDA'S RESTAURANT BAKERY & LOUNGE,BROOKLYN,5322,CHURCH AVENUE,11203,7184850731,Caribbean,05/16/2016,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,11,A,05/16/2016,08/28/2017,Cycle Inspection / Re-inspection
50057513,HEART BEET EATERY,QUEENS,10005,METROPOLITAN AVE,11375,7183743129,Jewish/Kosher,12/14/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,24,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
50033767,FEAST ON US,MANHATTAN,645,HUDSON ST,10014,2122428231,American,09-09-15,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,57,,,08/28/2017,Cycle Inspection / Initial Inspection
41617662,CJ'S JAMAICAN RESTAURANT & BAKERY,BROOKLYN,817,UTICA AVENUE,11203,7183450151,Caribbean,01-11-16,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,01-11-16,08/28/2017,Cycle Inspection / Re-inspection
41705370,AKIMOTO SUSHI,MANHATTAN,187,CHURCH STREET,10007,2127663351,Japanese,09/23/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,09/23/2015,08/28/2017,Cycle Inspection / Re-inspection
50064805,HUMDINGER,BROOKLYN,119,COURT ST,11201,7189092926,"Ice Cream, Gelato, Yogurt, Ices",08-10-17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,08-10-17,08/28/2017,Pre-permit (Operational) / Initial Inspection
41644418,BAGEL BIN,QUEENS,8610,JAMAICA AVENUE,11421,7184416669,Bagels/Pretzels,08-12-15,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,46,,,08/28/2017,Cycle Inspection / Initial Inspection
50018480,''W'' CAFE,MANHATTAN,390,5TH AVE,10018,2125639444,American,01-07-15,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,40,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
41704249,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,1398,MADISON AVENUE,10029,2129969797,Pizza,02/26/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,89,,,08/28/2017,Trans Fat / Initial Inspection
40671411,MCDONALD'S,BRONX,86,EAST  167 STREET,10452,7189928642,Hamburgers,05-06-15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,24,,,08/28/2017,Cycle Inspection / Initial Inspection
41210953,TAQUERIA TLAXCALLI,BRONX,2103,STARLING AVE,10462,3478513085,Mexican,12-07-15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,12-07-15,08/28/2017,Cycle Inspection / Re-inspection
41525016,DA MIKELE,MANHATTAN,275,CHURCH STREET,10013,2129258800,Italian,03-02-16,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,03-02-16,08/28/2017,Cycle Inspection / Initial Inspection
50012426,ALPHAVILLE,BROOKLYN,140,WILSON AVE,11237,2013042844,American,08-09-17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,31,,,08/28/2017,Cycle Inspection / Initial Inspection
41602948,NEW GOLDEN STAR,QUEENS,22328,UNION TURNPIKE,11364,7184658500,Chinese,09/18/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,26,,,08/28/2017,Cycle Inspection / Initial Inspection
41638553,BRICIOLA,MANHATTAN,370,WEST   51 STREET,10019,6466785763,Italian,03-02-16,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,13,A,03-02-16,08/28/2017,Cycle Inspection / Re-inspection
50032853,VINNY'S LUNCHBOX,BROOKLYN,171,AVENUE U,11223,7182663138,American,08-12-15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,,,08/28/2017,Cycle Inspection / Initial Inspection
40727214,CHINANTLA RESTAURANT,BROOKLYN,657,MYRTLE AVENUE,11205,7182221719,Mexican,05/19/2015,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,9,A,05/19/2015,08/28/2017,Cycle Inspection / Re-inspection
41236257,DUNKIN' DONUTS,BROOKLYN,906,CONEY ISLAND AVENUE,11218,7188710526,Donuts,02/14/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,9,A,02/14/2017,08/28/2017,Cycle Inspection / Re-inspection
50035092,CHIPOTLE MEXICAN GRILL,BRONX,193,W 237TH ST,10463,7186016022,Mexican,05-11-15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,05-11-15,08/28/2017,Pre-permit (Operational) / Initial Inspection
50002470,PIZZETTERIA BRUNETTI,MANHATTAN,626,HUDSON STREET,10014,2122555699,Pizza,12-07-13,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
50043573,SK RESTAURANT,QUEENS,14249,ROCKAWAY BLVD,11436,7188011756,Indian,07-07-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,07-07-16,08/28/2017,Cycle Inspection / Initial Inspection
