activity_date,employee_id,facility_address,facility_city,facility_id,facility_name,facility_state,facility_zip,grade,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,score,serial_number,service_code,service_description
21-06-17,EE0000685,14533 VENTURA BLVD,SHERMAN OAKS,FA0070825,SPU MONI,CA,91403,A,OW0003428,"AVETISYAN, VASAK",RESTAURANT (31-60) SEATS HIGH RISK,1635,SPU MONI,ACTIVE,PR0013257,94,DAY8QMTIR,1,ROUTINE INSPECTION
30-12-15,EE0000558,723 RIO RANCHO RD,POMONA,FA0144573,ROSS DRESS FOR LESS #1727,CA,91766,A,OW0030803,"ROSS DRESS FOR LESS, INC.","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,ROSS DRESS FOR LESS #1727,ACTIVE,PR0130662,100,DADXRMSUB,1,ROUTINE INSPECTION
17-08-17,EE0000730,819 W CARSON ST,TORRANCE,FA0180034,BLUE BASIL ASIAN CUISINE,CA,90505,B,OW0185495,PETER ZHEN ZHANG,RESTAURANT (61-150) SEATS HIGH RISK,1638,BLUE BASIL ASIAN CUISINE,ACTIVE,PR0173744,80,DAY1GZSLW,1,ROUTINE INSPECTION
03-02-17,EE0000500,710 S GRAND AVE,GLENDORA,FA0025600,GRAND BURGER,CA,91740,A,OW0020189,"KYPREOS, JAMES",RESTAURANT (61-150) SEATS HIGH RISK,1638,GRAND BURGER,ACTIVE,PR0022982,91,DAGDYLAMW,1,ROUTINE INSPECTION
06-09-16,EE0000487,636 E HOLT AVE,POMONA,FA0239240,PEDROZA'S MEXICAN FOOD,CA,91767,A,OW0235571,SIMITRIO V. PEDROZA,RESTAURANT (0-30) SEATS HIGH RISK,1632,PEDROZA'S MEXICAN FOOD,ACTIVE,PR0187204,95,DAKYNTDT3,1,ROUTINE INSPECTION
10-10-17,EE0001014,301 WASHINGTON BLVD,VENICE,FA0226508,SIAMESE GARDEN RESTAURANT,CA,90292,A,OW0230622,SIAMESE ORCHIDS LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,SIAMESE GARDEN RESTAURANT,ACTIVE,PR0181836,96,DA0HTBIKD,1,ROUTINE INSPECTION
28-04-16,EE0000557,4045 E WHITTIER BLVD,LOS ANGELES,FA0055078,WHITTIER MARKET,CA,90023,A,OW0014674,"HAN, IN C","FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,WHITTIER MARKET,ACTIVE,PR0042781,93,DA5H80ZKZ,1,ROUTINE INSPECTION
02-10-15,EE0000258,3801 W TEMPLE AVE # #97,POMONA,FA0027639,PANDA EXPRESS #587,CA,91768,A,OW0027458,PANDA EXPRESS INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,PANDA EXPRESS #587,ACTIVE,PR0027945,97,DASLFHFN0,1,ROUTINE INSPECTION
30-03-16,EE0000718,1627 N VERMONT AVE,LOS ANGELES,FA0041503,YAI'S ON VERMONT,CA,90027,A,OW0031864,"SATTRAROJNA, CHATIROSE",RESTAURANT (61-150) SEATS HIGH RISK,1638,YAI'S ON VERMONT,ACTIVE,PR0047681,91,DANBS25DK,1,ROUTINE INSPECTION
09-03-16,EE0001026,4801 S AVALON BLVD,LOS ANGELES,FA0034810,LEE'S MARKET,CA,90011,A,OW0008083,"CHUNG, TAE K","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,LEE'S MARKET,ACTIVE,PR0002042,95,DA0SPJ4P8,1,ROUTINE INSPECTION
15-06-16,EE0000868,22825 HAWTHORNE BLVD,TORRANCE,FA0149335,PAZZO PIZZERIA PRIMA,CA,90505-3615,A,OW0114919,BENITO BAUTISTA-HERNANDEZ,RESTAURANT (0-30) SEATS HIGH RISK,1632,PAZZO PIZZERIA PRIMA,ACTIVE,PR0135441,96,DABMFDFAN,1,ROUTINE INSPECTION
04-12-17,EE0000249,1721 N LONG BEACH BLVD,COMPTON,FA0043951,"PIARA, PIZZA",CA,90221,A,OW0029076,PRONTO PIZZA INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,"PIARA, PIZZA",ACTIVE,PR0014636,99,DAKVXYWYB,1,ROUTINE INSPECTION
07-10-15,EE0000721,404 S FIGUEROA ST,LOS ANGELES,FA0010547,BONAVENTURE BAKE SHOP,CA,90071,A,OW0016394,HOTEL BONAVENTURE LTD PARTNE,RESTAURANT (0-30) SEATS MODERATE RISK,1631,BONAVENTURE BAKE SHOP,ACTIVE,PR0029661,99,DANTIDTNI,1,ROUTINE INSPECTION
03-08-17,EE0000721,740 S BROADWAY AVE,LOS ANGELES,FA0245258,GLOBAL THEATER,CA,90014,A,OW0240341,"CHOL ENTERPRISES, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,GLOBAL THEATER - SOUTH BAR,ACTIVE,PR0193643,95,DATFGTPYU,1,ROUTINE INSPECTION
06-07-16,EE0000742,1395 S DIAMOND BAR BLVD,DIAMOND BAR,FA0071979,TEA GARDEN CAFE,CA,91765,A,OW0035168,TEA GARDEN CAFE INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,TEA GARDEN CAFE,ACTIVE,PR0040333,97,DAAD8NSIH,1,ROUTINE INSPECTION
11-12-15,EE0000953,4160 LINCOLN BLVD,MARINA DEL REY,FA0019309,DOLLAR TREE #4556,CA,90292,A,OW0010221,"DOLLAR TREE STORES, INC","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,DOLLAR TREE #4556,ACTIVE,PR0004559,99,DAZYG5CWX,1,ROUTINE INSPECTION
08-11-17,EE0000487,1060 S GAREY AVE,POMONA,FA0040273,MEXICO LINDO,CA,91766,A,OW0017777,"JML MEXICAN RESTAURANTS, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,MEXICO LINDO,ACTIVE,PR0032740,91,DASIUSHSR,1,ROUTINE INSPECTION
29-03-17,EE0000318,213 W WILSON AVE,GLENDALE,FA0064942,KOZY KORNER,CA,91203,A,OW0030577,"KOZY KORNER, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,"KOZY, KORNER",ACTIVE,PR0014180,91,DAZOKDPFJ,1,ROUTINE INSPECTION
12-07-16,EE0000624,245 PALOS VERDES BLVD,REDONDO BEACH,FA0073628,VONS MARKET #2273,CA,90277,A,OW0038181,THE VONS COMPANIES INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,VONS DELI,ACTIVE,PR0011385,96,DA6GJ03S1,1,ROUTINE INSPECTION
04-11-15,EE0000516,4738 LAUREL CANYON BLVD,STUDIO CITY,FA0014851,GELSON'S MARKET #3,CA,91604,A,OW0013032,GELSON'S MARKET,RESTAURANT (0-30) SEATS HIGH RISK,1632,GELSAN'S DELI,ACTIVE,PR0035422,95,DAX0IDOXN,1,ROUTINE INSPECTION
07-06-17,EE0000857,1544 N WESTERN AVE,LOS ANGELES,FA0021449,EL RINCON OAXAQUENO,CA,90027,A,OW0009104,"CRUZ, FILBERTO",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL RINCON OAXAQUENO,ACTIVE,PR0046717,93,DAT9GT0TS,1,ROUTINE INSPECTION
08-06-16,EE0000545,24201 VALENCIA BLVD # 104,VALENCIA,FA0224001,THE GRILLED CHEESE FACTORY,CA,91355,A,OW0228575,THE GRILLED CHEESE FACTORY INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,THE GRILLED CHEESE FACTORY,INACTIVE,PR0179158,94,DA0LQXKJM,1,ROUTINE INSPECTION
21-06-16,EE0000437,9545 3/4 E TELEGRAPH RD,PICO RIVERA,FA0046304,RESTAURANT LA MINERVA,CA,90660,A,OW0022147,"LOPEZ, BLANCA M",RESTAURANT (31-60) SEATS HIGH RISK,1635,RESTAURANT LA MINERVA,ACTIVE,PR0028651,90,DAZVNT4UI,1,ROUTINE INSPECTION
08-12-16,EE0000897,16000 PARAMOUNT BLVD,PARAMOUNT,FA0040417,MOTHERS NUTRITIONAL CTR #421,CA,90723,A,OW0025172,MOTHER'S NUTRITIONAL CENTER INC,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,MOTHERS NUTRITIONAL CTR #421,ACTIVE,PR0025221,98,DAVMBSGOY,1,ROUTINE INSPECTION
18-05-17,EE0000956,1873 N ALLEN AVE,PASADENA,FA0007021,ARMEN MARKET,CA,91104,A,OW0013151,"GHARIBI, ARMEN","FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,ARMEN MARKET,ACTIVE,PR0044023,94,DA06NUHZP,1,ROUTINE INSPECTION
06-01-16,EE0000744,1324 W FRANCISQUITO AVE STE C5,WEST COVINA,FA0163061,LA TROPICANA FRUITS & JUICES,CA,91790,A,OW0126738,"MIS TESOROS, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA TROPICANA FRUITS & JUICES,ACTIVE,PR0151233,95,DAZHS3BO2,1,ROUTINE INSPECTION
08-12-16,EE0000746,5528 YORK BLVD,LOS ANGELES,FA0240987,CHINA IN THE BOX,CA,90042,A,OW0236989,CHINA IN THE BOX,RESTAURANT (0-30) SEATS HIGH RISK,1632,CHINA IN THE BOX,ACTIVE,PR0189055,95,DAT7W3HZD,1,ROUTINE INSPECTION
19-04-17,EE0000685,4454 VAN NUYS BLVD STE #N,SHERMAN OAKS,FA0044000,PINEAPPLE HILL SALOON GRILL,CA,91423,A,OW0005613,C.A.L.M. VENTURES INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,PINEAPPLE HILL SALOON GRILL,ACTIVE,PR0011003,90,DAR5OFMLV,1,ROUTINE INSPECTION
01-11-16,EE0000318,252 S BRAND BLVD # E,GLENDALE,FA0240964,SHAKE SHACK 1160,CA,91204,A,OW0236969,SHAKE SHACK CALIFORNIA LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,SHAKE SHACK 1160,ACTIVE,PR0189026,94,DAGW45AB7,1,ROUTINE INSPECTION
24-04-17,EE0000965,6022 PACIFIC BLVD,HUNTINGTON PARK,FA0170280,BELLA ZONE,CA,90255,A,OW0178091,BELLA ZONE CORPORATION,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,BELLA ZONE,ACTIVE,PR0160743,96,DA1LW0TKD,1,ROUTINE INSPECTION
01-06-16,EE0000964,2277 HUNTINGTON DR,SAN MARINO,FA0171654,GARNISH CAFE,CA,91108,A,OW0178723,MELANIE ANN MANKERIAN,RESTAURANT (0-30) SEATS HIGH RISK,1632,GARNISH CAFE,ACTIVE,PR0164087,98,DART08KZ9,1,ROUTINE INSPECTION
10-03-17,EE0000029,11800 E ARTESIA BLVD,ARTESIA,FA0073705,WALGREENS PHARMACY #5773,CA,90701,A,OW0038319,WALGREENS CO.,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,WALGREENS PHARMACY #5773,ACTIVE,PR0024858,97,DATGT3WSS,1,ROUTINE INSPECTION
10-04-17,EE0000267,550 S WORKMAN MILL RD,LA PUENTE,FA0065793,LITTLE BEJING CHINESEFASTFOO,CA,91746,A,OW0039532,"YANG, YENG H",RESTAURANT (31-60) SEATS HIGH RISK,1635,LITTLE BEJING CHINESEFASTFOO,ACTIVE,PR0031561,91,DAOBF9C7D,1,ROUTINE INSPECTION
20-10-17,EE0000798,1894 W JEFFERSON BLVD,LOS ANGELES,FA0048529,ST. ANDREWS PLACE LIQUOR,CA,90018,A,OW0019644,KINGS ENTERPRISE INC.,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,ST. ANDREWS PLACE LIQUOR,ACTIVE,PR0023522,98,DA0BF4NJC,1,ROUTINE INSPECTION
08-06-16,EE0000516,5158 LAUREL CANYON BLVD,VALLEY VILLAGE,FA0006986,ARCO AM/PM MINI MARKET,CA,91607,A,OW0030326,RNR OIL INC #2,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,ARCO AM/PM MINI MARKET,ACTIVE,PR0014504,98,DAMKZR870,1,ROUTINE INSPECTION
08-12-17,EE0000725,12120 GARFIELD AVE,SOUTH GATE,FA0022943,LUCERO EXPRESS BAKERY,CA,90280,A,OW0028241,"PEREZ, CARLOS",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LUCERO EXPRESS BAKERY,ACTIVE,PR0042499,96,DAIJ04HT9,1,ROUTINE INSPECTION
11-04-16,EE0000206,12643 SHERMAN WAY,NORTH HOLLYWOOD,FA0138996,WABA GRILL,CA,91605,A,OW0102271,"SUNKILL, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,WABA GRILL,ACTIVE,PR0123374,95,DAFUC80UR,1,ROUTINE INSPECTION
18-01-17,EE0000718,1549 N VERMONT AVE,LOS ANGELES,FA0242612,IMPERIAL CHOPSTICKS,CA,90027,A,OW0238202,IMPERIAL CHOPSTICKS,RESTAURANT (0-30) SEATS HIGH RISK,1632,IMPERIAL CHOPSTICKS,ACTIVE,PR0190804,90,DAMIQQWBC,1,ROUTINE INSPECTION
27-07-17,EE0000064,1211 MONTANA AVE STE #C,SANTA MONICA,FA0051872,THE COURTYARD KITCHEN,CA,90403,A,OW0032151,"SELIMOVIC, ZORICA & ARIF",RESTAURANT (0-30) SEATS MODERATE RISK,1631,THE COURTYARD KITCHEN,ACTIVE,PR0042567,96,DAB0R2FQZ,1,ROUTINE INSPECTION
31-07-17,EE0000709,6301 SANTA MONICA BLVD,LOS ANGELES,FA0053750,VINE MOBIL,CA,90038,A,OW0029355,"RABADI SERVICE STATION, INC.","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,VINE MOBIL,ACTIVE,PR0045455,97,DAVTDTZSI,1,ROUTINE INSPECTION
12-04-16,EE0000847,21032 DEVONSHIRE ST STE #103,CHATSWORTH,FA0011472,BURRITO FACTORY,CA,91311,A,OW0005513,BURRITO WORKS INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,BURRITO FACTORY,ACTIVE,PR0006649,95,DAZTVU1XC,1,ROUTINE INSPECTION
31-07-17,EE0000688,9870 DE SOTO AVE,CHATSWORTH,FA0034877,SUBWAY #24303,CA,91311,A,OW0029107,PSSI SUBWAY 24303 INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY #24303,ACTIVE,PR0008763,100,DA00Z07HI,1,ROUTINE INSPECTION
10-10-17,EE0000927,2719 TWEEDY BLVD,SOUTH GATE,FA0020589,EL COATEPECANO,CA,90280,A,OW0005638,"CABALLERO, MARIA E.",RESTAURANT (0-30) SEATS HIGH RISK,1632,EL COATEPECANO,ACTIVE,PR0023652,97,DAOSMSOPO,1,ROUTINE INSPECTION
27-04-17,EE0000495,1980 SATURN ST,MONTEREY PARK,FA0141072,CALIFORNIA DINING SERVICE,CA,91755-7417,A,OW0104184,"JC STANDARD, INC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,CALIFORNIA DINING SERVICE,ACTIVE,PR0127102,92,DAZEYXL00,1,ROUTINE INSPECTION
08-10-15,EE0000583,166 W SIERRA MADRE AVE,AZUSA,FA0048414,SHOP & GO MINI MART,CA,91702,A,OW0039378,XIAO JIANRONG,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,SHOP & GO MINI MART,ACTIVE,PR0004674,97,DAHQQHIHV,1,ROUTINE INSPECTION
22-07-15,EE0000684,11551 SANTA MONICA BLVD # #1,LOS ANGELES,FA0014433,FROPLAY,CA,90025,A,OW0012417,FROPLAY INC.,RESTAURANT (31-60) SEATS LOW RISK,1633,FROPLAY,INACTIVE,PR0014806,99,DAFJWMBT0,1,ROUTINE INSPECTION
03-11-16,EE0000043,5604 SEPULVEDA BLVD,CULVER CITY,FA0070341,SHAKEY'S PIZZA #3,CA,90230,A,OW0031994,"SCO, LLC SHAKEY'S PIZZA",RESTAURANT (61-150) SEATS HIGH RISK,1638,SHAKEY'S PIZZA #3,ACTIVE,PR0023597,98,DATQ5CPBA,1,ROUTINE INSPECTION
10-12-15,EE0000744,16012 E MAIN ST,LA PUENTE,FA0045818,RIO'S PURE WATER & NATURAL,CA,91744,A,OW0030183,"RIO, JOSE DEL",RESTAURANT (0-30) SEATS MODERATE RISK,1631,RIO'S PURE WATER & NATURAL,ACTIVE,PR0008101,96,DAGZWF608,1,ROUTINE INSPECTION
09-05-17,EE0000531,698 S IROLO ST STE #103,LOS ANGELES,FA0013382,FALAFEL CORNER,CA,90005,A,OW0010278,"DONANIAN, MINAS",RESTAURANT (0-30) SEATS HIGH RISK,1632,FALAFEL CORNER,ACTIVE,PR0010055,90,DAV2X63TM,1,ROUTINE INSPECTION
09-09-16,EE0000545,21726 PLACERITA CANYON RD,NEWHALL,FA0051736,THE CANYON CAFE,CA,91321,A,OW0035644,THE MASTERS COLLEGE,RESTAURANT (151 + ) SEATS HIGH RISK,1641,THE CANYON CAFE,ACTIVE,PR0022166,99,DAGIUBDQQ,1,ROUTINE INSPECTION
07-07-17,EE0000583,582 E FOOTHILL BLVD,AZUSA,FA0005591,ALMAZAN BAKERY,CA,91702,A,OW0002248,"ALMAZAN, AGUSTIN",RESTAURANT (0-30) SEATS HIGH RISK,1632,ALMAZAN BAKERY,ACTIVE,PR0004864,94,DARVDXRWA,1,ROUTINE INSPECTION
07-09-17,EE0000573,21032 VICTORY BLVD,WOODLAND HILLS,FA0049938,SUBWAY # 805,CA,91367,A,OW0034210,SUKHSAGAR PANNU,RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY # 805,ACTIVE,PR0043338,98,DAFHNWGJT,1,ROUTINE INSPECTION
17-10-17,EE0000092,17236 CRENSHAW BLVD,TORRANCE,FA0245733,TAQUERIA EL OTRO AMIGO,CA,90504,A,OW0240726,CRESENCIANO HIPOLITO GARCIA,RESTAURANT (31-60) SEATS HIGH RISK,1635,TAQUERIA EL OTRO AMIGO,ACTIVE,PR0194106,90,DAUO5CEON,1,ROUTINE INSPECTION
15-06-17,EE0000074,1320 W GLENOAKS BLVD,GLENDALE,FA0020486,LA BANQUET S -GLENOAKS BALLR,CA,91201,A,OW0031821,"SARKISSIAN, VREJ",RESTAURANT (151 + ) SEATS HIGH RISK,1641,LA BANQUET S -GLENOAKS BALLR,ACTIVE,PR0000683,92,DA8GNLJHC,1,ROUTINE INSPECTION
12-12-17,EE0000520,20014 VENTURA BLVD,WOODLAND HILLS,FA0156675,MR JUICE,CA,91364,A,OW0121942,MR SPORT CORP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MR. JUICE,ACTIVE,PR0144343,95,DAYH96SE6,1,ROUTINE INSPECTION
26-10-16,EE0000722,4057 W 3RD ST,LOS ANGELES,FA0011968,CAFE SUWARNIE,CA,90020,B,OW0019350,"KIM, JUNG BOON",RESTAURANT (0-30) SEATS HIGH RISK,1632,CAFE SUWARNIE,INACTIVE,PR0017330,83,DA4000H0T,1,ROUTINE INSPECTION
23-06-16,EE0000593,10813 ZELZAH AVE,GRANADA HILLS,FA0028285,HOMEGOODS #516,CA,91344,A,OW0015942,HOMEGOODS INC.,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,HOMEGOODS #516,ACTIVE,PR0028050,99,DAUUTMYD6,1,ROUTINE INSPECTION
01-03-16,EE0000855,433 N BEDFORD DR,BEVERLY HILLS,FA0032255,JUDI'S DELI,CA,90210,A,OW0099413,"JUDI'S BEDFORD, LLC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,JUDI'S DELI,INACTIVE,PR0001891,96,DADKNUE1X,1,ROUTINE INSPECTION
21-02-17,EE0000718,2122 BEVERLY BLVD,LOS ANGELES,FA0225142,SEAFOOD EXPRESS LA,CA,90057,A,OW0229579,BOKNAM CINDY YIM,RESTAURANT (0-30) SEATS HIGH RISK,1632,SEAFOOD EXPRESS LA,ACTIVE,PR0180455,90,DA2JO9QQD,1,ROUTINE INSPECTION
27-06-17,EE0000624,206 FISHERMANS WHARF,REDONDO BEACH,FA0029440,HOT DOG ON A STICK,CA,90277,A,OW0029922,"REIDT, CRAIG D",RESTAURANT (0-30) SEATS MODERATE RISK,1631,HOT DOG ON A STICK,ACTIVE,PR0024204,90,DAHDEIUNA,1,ROUTINE INSPECTION
18-08-17,EE0000829,899 E SPRING ST,SIGNAL HILL,FA0137886,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,CA,90755-1702,B,OW0002865,APPLE SOCAL LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,ACTIVE,PR0122081,80,DAHNIZARR,1,ROUTINE INSPECTION
04-08-15,EE0000735,31561 CASTAIC RD,CASTAIC,FA0138636,CASTAIC DONUTS,CA,91384,A,OW0101971,PHEAV SOPHANNA,RESTAURANT (0-30) SEATS MODERATE RISK,1631,CASTAIC DONUTS,ACTIVE,PR0122987,90,DAOTN5TGO,1,ROUTINE INSPECTION
12-09-16,EE0000064,2201 WILSHIRE BLVD # #320,SANTA MONICA,FA0073988,WHOLE FOODS MARKET,CA,90403,A,OW0038850,"WHOLE FOODS MARKET, INC.","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,WHOLE FOODS MEAT MARKET,ACTIVE,PR0008107,90,DA2GAC1OE,1,ROUTINE INSPECTION
05-12-17,EE0000025,3801 W BURBANK BLVD,BURBANK,FA0022204,LIQUOR PALACE,CA,91505-2116,A,OW0101013,"LIQUOR PALACE & MARKET, INC.","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,LIQUOR PALACE,ACTIVE,PR0008574,97,DARNUD7XG,1,ROUTINE INSPECTION
22-10-15,EE0000081,4505 E SLAUSON AVE STE A,MAYWOOD,FA0050820,TACO BOY,CA,90270,A,OW0023622,"MARTINEZ,JOSE L",RESTAURANT (31-60) SEATS HIGH RISK,1635,TACO BOY,ACTIVE,PR0023485,96,DATX0586T,1,ROUTINE INSPECTION
02-11-16,EE0000120,1108 S BALDWIN AVE # B4-5,ARCADIA,FA0018990,DIN TAI FUNG RESTAURANT,CA,91006,A,OW0010084,DIN TAI FUNG RESTAURANT INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,DIN TAI FUNG RESTAURANT,ACTIVE,PR0048310,91,DADFWDPLN,1,ROUTINE INSPECTION
12-10-16,EE0000884,3014 W OLYMPIC BLVD,LOS ANGELES,FA0026965,GUELAGUETZA,CA,90006,A,OW0028070,PBF & E LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,GUELAGUETZA,ACTIVE,PR0036827,92,DAW280LJG,1,ROUTINE INSPECTION
24-06-16,EE0000145,18526 S PIONEER BLVD,ARTESIA,FA0058180,BEMBAY SWEETS & SNACHS,CA,90701,A,OW0013811,"GORE, AUTUR S",RESTAURANT (0-30) SEATS HIGH RISK,1632,BEMBAY SWEETS & SNACHS,ACTIVE,PR0001545,93,DANWP2PUX,1,ROUTINE INSPECTION
08-03-17,EE0000721,300 S BROADWAY,LOS ANGELES,FA0242590,BLUE BOTTLE COFFEE,CA,90013,A,OW0127193,"BLUE BOTTLE COFFEE, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,BLUE BOTTLE COFFEE,ACTIVE,PR0190780,95,DAMUH0DDB,1,ROUTINE INSPECTION
30-08-16,EE0000797,12415 VENTURA BLVD,STUDIO CITY,FA0173676,DAIWA SUSHI,CA,91604,A,OW0180430,"BOKCHANG, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,DAIWA SUSHI,ACTIVE,PR0166455,97,DA1ZPDDTG,1,ROUTINE INSPECTION
01-11-16,EE0000923,922 N ALVARADO ST STE C,LOS ANGELES,FA0240108,PIZZA BUONA,CA,90026-3170,A,OW0236269,ISRAEL PALACIOS,RESTAURANT (0-30) SEATS HIGH RISK,1632,PIZZA BUONA,ACTIVE,PR0188115,92,DA1ICL71J,1,ROUTINE INSPECTION
08-05-17,EE0000468,189 THE GROVE DR STE Z-80,LOS ANGELES,FA0023262,MAGGIANO'S LITTLE ITALY,CA,90036,A,OW0005282,BRINKER RESTAURANT CORP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,MAGGIANO'S LITTLE ITALY,ACTIVE,PR0010595,91,DAF3OBNJ0,1,ROUTINE INSPECTION
21-12-15,EE0000367,4000 WARNER BLVD,BURBANK,FA0144283,WARNER BROTHERS STUDIO,CA,91522-0001,A,OW0107120,WARNER BROTHERS STUDIO ENTERTAINMENT INC.,RESTAURANT (151 + ) SEATS HIGH RISK,1641,WARNER BROS STUDIO BLDG 21,ACTIVE,PR0128089,94,DAKZYSIE4,1,ROUTINE INSPECTION
20-09-16,EE0000578,15472 N VENTURA BLVD,SHERMAN OAKS,FA0070428,SHIRAZ RESTAURANT,CA,91403,A,OW0014431,H B S CORP,RESTAURANT (61-150) SEATS HIGH RISK,1638,SHIRAZ RESTAURANT,ACTIVE,PR0034781,95,DA7EMBL5H,1,ROUTINE INSPECTION
13-04-17,EE0000043,8665 WASHINGTON BLVD,CULVER CITY,FA0044624,PINCHES TACOS,CA,90232,A,OW0028559,PINCHES ANAYA II LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,PINCHES TACOS,ACTIVE,PR0007511,98,DAWCHHD38,1,ROUTINE INSPECTION
26-01-17,EE0000029,14407 S PIONEER BLVD,NORWALK,FA0045012,R&G'S FOOD BASKET,CA,90650,A,OW0009110,"CRUZ, GEORGE","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,R&G'S FOOD BASKET,INACTIVE,PR0036279,97,DAJE5JNZV,1,ROUTINE INSPECTION
27-12-16,EE0000950,500 N GARFIELD AVE,MONTEBELLO,FA0014646,G & M OIL #84,CA,90640,A,OW0012527,G & M OIL CO,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,G & M OIL #84,ACTIVE,PR0011675,100,DAACNJT4Z,1,ROUTINE INSPECTION
17-08-15,EE0000015,2530 OVERLAND AVE,LOS ANGELES,FA0004264,AROMA CAFE,CA,90064,A,OW0033196,"SLIPAC, ADEM",RESTAURANT (31-60) SEATS HIGH RISK,1635,AROMA CAFE,ACTIVE,PR0042678,94,DA051APGP,1,ROUTINE INSPECTION
08-08-17,EE0000953,4141 S CENTINELA AVE,LOS ANGELES,FA0068135,PACO'S TACOS,CA,90066,A,OW0027230,PACOS TACOS INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,PACO'S TACOS,ACTIVE,PR0018089,90,DASVYGI0W,1,ROUTINE INSPECTION
27-07-16,EE0000545,23975 NEWHALL RANCH RD,VALENCIA,FA0073252,VALLEY PRODUCE MARKET-BAKERY,CA,91355,A,OW0031702,SANTA CLARITA VALLEY PRODUCE,RESTAURANT (0-30) SEATS MODERATE RISK,1631,VALLEY PRODUCE MARKET-BAKERY,ACTIVE,PR0037276,99,DAFLC52PV,1,ROUTINE INSPECTION
18-05-16,EE0000686,3446 FOOTHILL BLVD,LA CRESCENTA,FA0049964,SUBWAY SANDWICHES,CA,91214,A,OW0014132,"GREWAL, JAGPREET SINGH",RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY SANDWICHES,ACTIVE,PR0033417,96,DABPV9JQH,1,ROUTINE INSPECTION
22-06-16,EE0000734,38007 E 47TH ST E,PALMDALE,FA0061534,EL POLLO LOCO # 6061,CA,93552,A,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL POLLO LOCO # 6061,ACTIVE,PR0013901,93,DARMZUA6D,1,ROUTINE INSPECTION
19-07-16,EE0000606,7811 E FIRESTONE BLVD,DOWNEY,FA0067274,MR PETE'S PATIO,CA,90241,A,OW0033972,"STAVROS, DONNA",RESTAURANT (61-150) SEATS HIGH RISK,1638,MR PETE'S PATIO,ACTIVE,PR0001245,91,DAI9V8KS4,1,ROUTINE INSPECTION
